【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
大野市,あまりそうは思わない,,あまりそうは思わない,大阪に行くのが大変,とてもそう思う,観光客は増えそう,そう思う,,そう思う,,とても評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",7,住みやすいが車がないと難しい,30～39歳,女性,,とても好ましい,,10,,3,,
あわら市,そう思う,あわら温泉があるので、県外からも多くの人が来ると思うから,あまりそうは思わない,今と変わらないと思うから,そう思う,新幹線開業で、今より多くの人が福井県に来てくれて、お金を使ってくれるから,そう思う,,そう思う,,どちらかといえば評価している,,,,3,,,福井県がさらに賑わうと思うから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",特に心配はない,観光スポットの案内板や標識（多言語表示）,7,,30～39歳,男性,,好ましい,,8,,4,,
小浜市,あまりそうは思わない,新幹線敦賀駅で降りてからの小浜に行く交通機関が不便,そうは思わない,"敦賀まで行くのに電車だと終電が早いのでゆっくり出来ない。
車だと駐車場にお金がかかる。",とてもそう思う,嶺北はたくさん観光するところがあると思います。,とてもそう思う,福井県より魅力のあるところがいっぱいあるのに福井県を選んでくださったのは、ありがたいと思います。,ややそう思う,観光客は来て欲しいが、県民からするとどこをお薦めしてよいかわからない。,どちらかといえば評価している,,,他の市町村と比べると、宣伝が下手だと思う。,3,どこに案内していいかわからない。,,街が賑やかになる,"まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 駐車場",5,田舎なので給料が安いわりに家賃が高いので暮らしが厳しい。,60～69歳,女性,イベントへ行く道が一本などで混みます。,好ましい,住み良い街をアピールして、移住を推進して人口を増やすといいと思う。,5,物価が上がったのに、給料が上がらないので益々暮らしが厳しいと思う。,2,,
福井市,そう思う,,あまりそうは思わない,関西圏への移動がやや不便になるため,そう思う,,そう思う,知られていない魅力を知って欲しいから。,そう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる, ガイドなど市民参加の場が広がる",特に心配はない,"観光スポットを結ぶ交通機関, 宿泊施設、土産物屋, 駐車場",7,,40～49歳,女性,,好ましい,観光客が来ることにより経済が活性化され、さらに訪問者が福井の良さをSNS等で発信してくれることにより、県外の人がさらに訪れてくれることが期待され、県民はより良いおもてなしを模索すると思うから。,8,,4,,
福井市,あまりそうは思わない,,あまりそうは思わない,,そう思う,,ややそう思う,,ややそう思う,,どちらともいえない,,,,1,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, 宿泊施設、土産物屋, 駐車場, 体験施設",2,,30～39歳,女性,,どちらかと言えば好ましい,,1,,1,,
大野市,あまりそうは思わない,新幹線が止まる駅から遠いし、越美北線も本数が少ないので、観光客は来づらいと思う。,全くそうは思わない,関西へよく行くが、今までより不便な上に運賃が高くなるので非常に困る。,ややそう思う,,とてもそう思う,,全くそうは思わない,観光では金沢や京都などには到底敵わないので観光よりも福井にしかない別のことに力をいれて欲しい。,どちらともいえない,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",観光スポットを結ぶ交通機関,10,,50～59歳,女性,,どちらかと言えば好ましい,,10,,4,,
越前市,ややそう思う,今までは新幹線通ったってメリットあるかなぁって疑問でしたが、開業をチャンスと捉え頑張っている企業があるとニュースや新聞で見ると、ワクワクするし福井も捨てたもんじゃないなぁと思うから,ややそう思う,価格面でお得感がないけれど、近くに新幹線があればそれを利用して旅行したいと思うから,ややそう思う,"海外からの玄関口（関空など）からのアクセスが良くなり人の流れが出来るから
東京からだとトンネルばかりで観光に来る方は残念な気分になりそう",とてもそう思う,田舎の福井に興味を持ってくれる事が嬉しいから,ややそう思う,来て欲しいけれど観光ポテンシャルがどれだけあるか自信がなあ,評価している,,,身内が観光協会で奮闘しているから,1,Ｉターンの知り合いが福井を絶賛してくださるおかげで地元に自信と誇りが生まれ、それがだんだん大きくなってきたから,,関係人口が増えることは福井の活性につながる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",5,治安がいい平和、だけど子育ては結局女性の仕事という文化が根付いているので、フルタイムの仕事だと心身ともに疲弊する,40～49歳,女性,オーバーツーリズムになるほどのお客様は殺到しないから、秩序が保てそう,好ましい,,5,家族がいて幸せ、けどだんだん自治体が弱体化すると思っているのでサービスが徐々に悪くなりそう,3,,
鯖江市,あまりそうは思わない,駅から離れているから,あまりそうは思わない,有名な観光施設が無いから,ややそう思う,旅行人が流れるから,そう思う,もっと福井県が有名になってほしいから,そう思う,福井県各地が潤うから,どちらともいえない,,,あまりアピールがたりない,4,住みやすいから,,人が増え混み合うのはいやだから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",9,住みやすいから,50～59歳,男性,,どちらともいえない,,9,なんとなく,5,,
福井市,そう思う,,あまりそうは思わない,特急の廃止,そう思う,,そう思う,,ややそう思う,,どちらともいえない,,,,3,何もないから,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, ガイドなど市民参加の場が広がる",治安の悪化,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 駐車場",2,,20～29歳,男性,,とても好ましい,,1,,1,,
美浜町,あまりそうは思わない,敦賀開業とは言え小浜線で乗り継ぐ美浜町では、あまり観光客の流入も増えるように思えないため。観光に来られたとしても駅からの移動手段が限られるため、周辺での散策以外にはなかなか発展しにくいのではないかと思いました。,ややそう思う,"子どもが電車が好きなので、新幹線を見られるようになることをとても喜んでいます。
新幹線の開業によりあまり足を延ばしたことのない長野などにも行ってみたいなぁと思うようになりました。",ややそう思う,長い期間、敦賀延伸の線路を作られている様子を見てきました。年月とお金と労力を費やした結果は良いものであってほしいからです。,ややそう思う,私自身結婚を機に九州より福井県へやってきました。知り合いもおらず、それまで訪れたこともなかった場所でしたが、四季折々の風景や自然の豊かさ、人の温かさなど良いところをたくさん知ることが出来ました。冬場の雪こそ大変ですが、たくさんの方に「地味にすごい福井」を訪れてもらえたらいいなぁと思います。,ややそう思う,"観光名所や大自然の造形美など見どころはたくさんあるので、多くの方に来てもらえたらなと思います。
ただ集客のために多くの助成を仕掛けるのを見ると、県民へ有効に税金を使ってもらいたいとの気持ちもやはり出るため、バランスを取っていただきたいです。",どちらかといえば評価している,,,私は道の駅が好きで、嶺南の道の駅はよく足を運びますが、どこも綺麗で見やすく”立ち寄ってみたい”気持ちが湧いてくるつくりになっていると思います。スタンプラリーなども多く計画されていて、場所を巡るほどにプレゼントの応募に近づくというのも、ちょっと寄ってみようかな～と言う気持ちを誘われて、毎回楽しんで参加しています。,3,今住んでいる美浜町は、海が綺麗な水晶浜をおすすめできます。子育て支援もありがたいです。,,"人が増えることで消費・購買が進み経済が潤う。それにより地域の雇用が生まれたりお店の誘致が進んだりすればなおいいなと思います。
ただごみが増えたり、日常で子どもと出かける場所が人でいっぱいになったりと、そこに住んでいる人が生活しにくい環境が発生してしまうことがあれば本末転倒かなとも思います。","観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 駐車場",7,"人の温かさ、子育てのしやすさは10点です。ただ年齢が上がるごとに学校の選択肢が狭くなるのが悩みです。買い物のしやすさ(お店の数)と、公共交通機関の便利さ、また病院の数については市町村によって差が大きいと感じています。
県全体で子育てへの支援は大きいですが、出産時のことを考えると、嶺南は出産ができる病院が非常に限られていると感じました。わが家は子どもが小児慢性特定疾患ですが、嶺南には先生がおられず、嶺北へ通っておりました。予防接種や保育への助成もありがたいですが、子育て環境を底上げするなら、病院が増えてほしいです。",30～39歳,女性,,どちらかと言えば好ましい,,7,5年後は子どもが大きくなり、進学を考え出す頃だと思うので…上記に記載した通り、学校の選択で頭を悩ませているように思いますので、この点数にしました。,3,,
あわら市,とてもそう思う,,とてもそう思う,,そう思う,,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 観光案内所、観光ガイド",6,,60～69歳,女性,,とても好ましい,,2,過疎化、交通の便の悪さ、,2,,
おおい町,とてもそう思う,観光客の往来が生まれるため,とてもそう思う,街が活性化し、何らかの形でプラスに働く,とてもそう思う,県が活性化され、より良くなる。,とてもそう思う,沢山の方々に福井の良さを知ってもらいたいため,とてもそう思う,観光スポットが豊富であり、魅力たっぷりなため,とても評価している,,,積極的にアピールしていると評価する,5,原子力の街で、国の発展に貢献している町であること,,全国で真ん中に位置する往来しやすい福井県の良さを知ってもらえる良い機会である。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 観光案内所、観光ガイド, 駐車場",10,衣食住の、どれをとっても他から羨ましがられる県であるため。また、評価も高い。,50～59歳,男性,,とても好ましい,,10,人の往来により活性化することで、より良くなる。,5,,
坂井市,ややそう思う,,ややそう思う,,ややそう思う,,そう思う,,ややそう思う,,どちらともいえない,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 歴史文化資源の破壊","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）",7,,40～49歳,男性,,どちらかと言えば好ましい,,7,,4,,
福井市,とてもそう思う,新幹線を利用して、多くの人々が福井県を訪れるから。,とてもそう思う,長野県や関東方面にも新幹線を利用して利用したいです。,とてもそう思う,多くの人々が観光地を訪れ、経済が潤います。,そう思う,人々の交流が生まれて、経済も潤います。,とてもそう思う,福井県には多くの観光地、名所、特産品があり、それらを多くの人々に知ってもらいたいです。,評価している,,,まだ福井県をよく知らない人に、新幹線開業を機にＰＲできればと思いますから,4,多くの人々に福井県を良さを知ってもらいたいです。。,,経済が循環し、地域が繁栄します。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光イベント, 観光案内所、観光ガイド",9,車社会、高齢化に伴い公共交通機関を充実させてほしいです。,60～69歳,男性,,とても好ましい,,10,新幹線開業を通して、経済が潤い、交流が生まれ、ワクワクしています。,5,,
鯖江市,あまりそうは思わない,新幹線の駅が無いから,ややそう思う,新幹線を利用して旅行したいと思っている,ややそう思う,東尋坊や越前海岸など良い景色はある。,そう思う,自分が旅行に行った時も地方の人におもてなしされるとまた行きたいと思うから,とてもそう思う,自然が作った良い景色はみんなの心に響くはずだから,評価していない,,,鯖江市は眼鏡ばかりで自分もメガネはかけないので興味が無い。子供にも喜んでもらえる特産を考えるべき,5,また来たいと思う魅力が無い,,地方の収入が増える,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",観光スポットを結ぶ交通機関,8,住みやすいとは思っているが石川県のように整備された道路事情が福井県は悪い,50～59歳,女性,,好ましい,,5,何も変わらず良くも悪くもない,3,,
鯖江市,とてもそう思う,県外との行き来が盛んになり、経済だけでなく人的交流に良い影響を与えるから。,とてもそう思う,大阪方面への距離感が小さくなったから,とてもそう思う,福井の魅力をアピールしていけるから。,とてもそう思う,自然や食べ物の美味しさなど福井の価値をわかってほしいから。,とてもそう思う,少子高齢化の中、観光による福井県の財政は苦しくなっていくので、観光による収入が必要だと思う。,どちらかといえば評価している,,,サンドームでのコンサートの観客が多くいるのに、周りは閑散としているなど、まだまだ出来ることはあるのではないでしょうか。,3,食べ物が美味しく、治安が良い。空気や水がおいしい。,,問6に同じ,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 体験施設",9,治安が良い,50～59歳,女性,福井県内の移動は車必須だから。,好ましい,移住定住促進は喫緊の課題だと思うので、観光効果に期待したいです。,7,高齢者施設の人手不足問題があるから,5,,
福井市,ややそう思う,来福しにくい地域に住んでいる人が来てくれる可能性があるので,あまりそうは思わない,鉄道をほとんど利用しないので,ややそう思う,そうあって欲しい,とてもそう思う,福井に良い印象を持って帰って欲しい,そう思う,福井での経験を日常に活かして欲しい,どちらともいえない,,,何をしているかよくわからない,1,よくわからないので,,経済効果を期待したい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 移住・定住のきっかけとなる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド",5,福井市内に住んでいるので、不便は少ない。最低賃金をもっと上げて欲しい。,50～59歳,女性,,とても好ましい,,2,パートで働いているので、常にお金の事で安心できる事はない,3,,
福井市,ややそう思う,観光地紹介が東京などで行っているので、行ってみようと思ってもらえているのではとおもうから。,ややそう思う,東京に行きやすくなったから。,ややそう思う,福井の経済で、潤う,そう思う,観光に来て、良い気分になってもらうと、また、きたいとおもってもらえるから。,そう思う,,評価している,,,いろんなイベントをして観光に力を入れていると思うから。,3,交通の便が悪いから。よくなるようには思いにくい。,,にぎやかになる。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 障害者や高齢者への配慮（バリアフリー）, 駐車場",5,自然現象なので仕方ないが、湿気が多い。雪が降るなど。また、ショッピングセンターが少ない。活気があまりないから。,60～69歳,女性,,どちらかと言えば好ましい,,5,老後の生活に力を入れているようにおもわないから。行政も、子育てに力を入れていて、高齢者の生活についてはあまり考えていないように感じるから。,3,,
小浜市,そう思う,,そう思う,,そう思う,,とてもそう思う,,とてもそう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる","交通渋滞や路上駐車などの交通環境の悪化, 特に心配はない","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 観光案内所、観光ガイド, 駐車場",5,,60～69歳,女性,,とても好ましい,,5,,4,,
福井市,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",特に心配はない,観光スポットを結ぶ交通機関,10,,30～39歳,男性,,とても好ましい,,10,,5,,
越前市,ややそう思う,ちょうど大河ドラマが紫式部が主役なので。ただ、金沢駅や恐竜博物館に行く人が多いと思います。,あまりそうは思わない,新幹線の駅が家から遠いので,そう思う,特急電車がなくなるので,そう思う,,そう思う,観光業をメインとしている地域もあるので,どちらかといえば評価している,,,,4,蕎麦やラーメンなど美味しい。,,,"観光客の消費によって飲食業や宿泊業が潤う, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, 駐車場",8,,30～39歳,男性,,どちらかと言えば好ましい,,8,,4,,
鯖江市,そうは思わない,大阪への移動が不便になった,そうは思わない,あまり利用しないと思うから,あまりそうは思わない,関東方面に出て行く人が増えても来る人は少なそう,そう思う,できれば来て欲しい,そう思う,素敵な観光地があれば来て欲しい,どちらかと言えば評価していない,,,越前武生駅は不便だ,3,観光施設が少ない,,観光の発展に観光客は来て欲しい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる","交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 宿泊施設、土産物屋, 駐車場",5,住みやすいが満足しているのではなく妥協,50～59歳,女性,交通渋滞が起こるのは嫌だ,とても好ましい,多くの人が来て賑わうのは嬉しい,5,,2,,
鯖江市,あまりそうは思わない,,あまりそうは思わない,,とてもそう思う,,とてもそう思う,,とてもそう思う,,どちらかと言えば評価していない,,,,1,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる","騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 観光案内所、観光ガイド, 駐車場",9,,50～59歳,男性,,とても好ましい,,9,,3,,
若狭町,あまりそうは思わない,敦賀駅乗り換え小浜線がうまく接続できるのか若狭町初め嶺南に足を運ぶのか心配。また観光を推し進めるならそれを維持するのはそこにある自然です。地域に住む人が田畑や山に手を加え豊かにすることが緑溢れる心和む風景になるのです。獣害に寄る耕作放置が増えています。荒れた田畑山はつるや雑草に覆われ過疎化は進んでいきます、風光明媚とはいえなくなります。人々の営む集落が元気になってこそ癒やしの風景おもてなしができるのだと思います。地域集落は自然の資源です。商業施設だけが観光ではありません。今のままでは維持するのは難しい。,あまりそうは思わない,たくさんの考えや要望がある中で中山間地農業にも目を向けて欲しいがほじの手が届いていないから。,そう思う,福井市近辺の商業施設だけが脚光を浴びていますが嶺北嶺南の地方の産業や風景の海湖田畑山の自然を活かした活動で観光誘致を進めることに希望があると思います。,そう思う,人との交流が視野を広め活動活躍できる若者が育つと思います。,そう思う,産業誘致を掲げていますが進んでいません。呼び込むだけでなく京阪神という大きな人口に美味しい農作物を売り込むことがもっとできるはず。観光を掲げることで人々の営む自然が潤うならば福井県の活力になると思います。,どちらともいえない,,,地域のリーダーに寄ってその時の取り組み方が違います。,4,のどか　のんびりできる,,増えることによるゴミやマナートイレ交通など問題点が出てくるでしょうがその対策ができるか不安です,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光案内所、観光ガイド, 駐車場, 体験施設",6,いつも幸福度ナンバー1と言われてますが福井市中心部の人々が恩恵を感じているの？誰がどんなふうに選ぶのと長く思っています。,60～69歳,女性,急速に破壊が進むほど観光客が増えるとは思いませんが対策は考えておくべきです。コロナ禍でさえ小浜道の駅　旭座街の駅にはトイレに消毒液や石鹸さえ置いてありません。住民の声に即対応できるかどうかで信頼が生まれ観光客にもリピーターが増えると思います。,どちらかと言えば好ましい,質問にも商業施設神社仏閣など建物中心です。その考えを改めて下さい。,7,自分でできることは創意工夫で細々と維持していきたいおもいますが若い人達がここで元気に暮らしていけるか心配です。,4,,
坂井市,そう思う,観光客の増加による地域が活性する,ややそう思う,,そう思う,,そう思う,,とてもそう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 飲食施設",8,,40～49歳,男性,,とても好ましい,,8,,4,,
福井市,そう思う,観光客が増えて、経済にプラスとなる,ややそう思う,,そう思う,,そう思う,福井に対し良い思いを持ってもらいたい,そう思う,,評価している,,,,4,,,活気が出てくると思う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",騒音やごみの増加,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",8,,40～49歳,男性,何ともわからない,好ましい,,8,,4,,
越前市,ややそう思う,,あまりそうは思わない,,ややそう思う,,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,,道の駅の土産の品数が少ない,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",特に心配はない,"観光スポットを結ぶ交通機関, 体験施設",5,,50～59歳,女性,,好ましい,,5,,3,,
福井市,ややそう思う,良くなる点もあるが現状の方が良いこともある。,ややそう思う,特別、変わりないが福井駅が賑やかになり雰囲気が変わる事に期待したい。,とてもそう思う,今まで不便な長野辺りの方が福井に来てくれそうな気がします。,とてもそう思う,数多い観光地の中から福井を選んでもらえるのは、とてもありがたいから。,そう思う,地味な県かもしれないけど行ってみたいと思ってほしいから。,評価している,,,ハイクラスなホテルを誘致出来たのはすごいと思います。ただ、いつも満室になるかは心配です。,4,まだまだですが魅力は充分あると思うから,,活気があり街が潤って賑やかになるから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる",特に心配はない,"観光スポットを結ぶ交通機関, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",8,食べ物も美味しく不自由ではないから,50～59歳,女性,,とても好ましい,,7,5年後は仕事もしていないと思うと張り合いが持てる場所があるか心配。,4,,
永平寺町,ややそう思う,永平寺くらいしか観光する場所がないので、訪れる年代が限られそう。,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,どちらともいえない,,,,3,,,,"まちに賑わいが生まれる, 地域の知名度が上がる",歴史文化資源の破壊,"観光スポットを結ぶ交通機関, 観光案内所、観光ガイド",6,,40～49歳,女性,,好ましい,,6,,4,,
小浜市,とてもそう思う,交通が便利になるから,とてもそう思う,観光地に人がくる,とてもそう思う,実際に見て食べて体験したらわかる,とてもそう思う,目的を持ち来られるので、サポートする,とてもそう思う,歴史があるから,とても評価している,,,新しい取り組みをしてます,5,県外にないものがある,,地方が潤う、活性化する,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",特に心配はない,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット",8,環境や日びの生活が良い,60～69歳,女性,,とても好ましい,,10,,5,,
