回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
107,RS00010744,2023-07-03T13:14:55,男性,神明（神明・鳥羽小学校区）,自然が多い,スポーツができる場所が少ない,２．一度、市を出て、また帰ってきたい,,住みやすいから,パソコン;スマートフォン（スマホ）;タブレット端末,,スポーツに親しむ環境が整備されたまち,,自然を残したままにぎやかな街,信号や横断歩行を増やしてほしい
106,RS00010696,2023-07-03T13:14:49,女性,吉川,食べ物が美味しい,"学生が遊べる場所がない
学生のルールが厳しい",５．県外に移りたい,東京都,将来やりたい職業が都心に近いほうがやりやすいから,パソコン;タブレット端末;ＶＲゴーグル,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち,,人口が減ってくると思うので、今のうちに増やしといてほしい,いつもありがとうございます
105,RS00010584,2023-07-03T13:14:46,男性,神明（神明・鳥羽小学校区）,,,２．一度、市を出て、また帰ってきたい,,今住んでる地域だと将来したい仕事がないから,スマートフォン（スマホ）;パソコン,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち,,伝統文化が集まった博物館を立ててほしい,今も住みやすいけど、もっと経済など発達してほしいです
104,RS00010482,2023-07-03T13:14:44,男性,神明（神明・鳥羽小学校区）,"広めの公園があり、遊ぶのに困らない。
三六サラダ焼きの本店がある。",大きいショッピングセンター等が少ないところ。,１．いま住んでる地区にずっと住み続けたい,,鯖江が一番住みやすいから。,スマートフォン（スマホ）;タブレット端末;テレビ,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;身近に自然を感じることのできるまち,,"もっと人が増えて、更ににぎやかになってほしい。
自然を残し、自然の温かみを感じられるところになってほしい。",大きい商業施設をもっと作ってほしい。
103,RS00010345,2023-07-03T13:14:38,男性,鯖江（惜陰・進徳小学校区）,"民度が良い
",遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,今住んでるところ以外のところで生活してみたい,パソコン;スマートフォン（スマホ）;タブレット端末,,身近に自然を感じることのできるまち;若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,安心して暮らせるような市にしてほしい,"資金などの使い道をしっかり考えてほしい

"
102,RS00010288,2023-07-03T13:14:36,女性,立待,とくにない,とくにない,５．県外に移りたい,大阪,県外で頑張りたいから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,,
101,RS00010184,2023-07-03T13:14:36,男性,神明（神明・鳥羽小学校区）,自然豊かなところ,田んぼが多い所,５．県外に移りたい,東京,福井県は遊べるところが少ないから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,ないです,ないです
100,RS00010012,2023-07-03T13:14:26,女性,神明（神明・鳥羽小学校区）,"映画館やアルプラザなどがあるところ
図書館などで勉強ができる環境がある","イオンを作ってほしい
友達と遊べる場所が少ない",４．県内の他の市町に移りたい,福井市,福井市のほうが栄えているので職場の近くに住むことができるから,スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,"もっと栄えてほしい
もっと住みやすく、安全な市になってほしい",もっと県を良くしてほしい！！！！！
99,RS00009904,2023-07-03T13:14:26,男性,神明（神明・鳥羽小学校区）,自然がたくさんある,もう少し近くにコンビニなどがほしい,３．市内の他の地区に移りたい,神明地区,店がたくさんある,携帯電話（スマートフォン以外）,,子どもから高齢者まで安心して教育を受けられるまち,,イオンをおく,何もない
98,RS00009877,2023-07-03T13:14:21,女性,神明（神明・鳥羽小学校区）,広々としたところがある,,２．一度、市を出て、また帰ってきたい,,都会で学べることと田舎で学べることもあるから,スマートフォン（スマホ）;パソコン;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;産業が盛んで働く場所が充実したまち,,,
97,RS00009727,2023-07-03T13:14:21,男性,吉川,治安がいい,アル・プラザみたいなところをふやしてほしい（イオン）,１．いま住んでる地区にずっと住み続けたい,,過ごしなれているから,パソコン;スマートフォン（スマホ）;タブレット端末,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;デジタル技術を活用したサービスが充実したまち,,"イオンを建てる
",これからも頑張ってください
96,RS00009613,2023-07-03T13:14:14,女性,立待,車通りの少ないところ,"遊べる場所がない
イオンモールがない
コンビニが少ない",５．県外に移りたい,東京都、京都府、大阪府,"県内にないものが沢山あるから
県内は不便だから",スマートフォン（スマホ）,,若者や女性に選ばれる魅力のあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち,,"イオンモールをつくってほしい
流行りのものを販売したり、作ってほしい
魅力度を高めてほしい","田んぼが多すぎる
イオンモールがなくて不便"
95,RS00009547,2023-07-03T13:14:14,男性,神明（神明・鳥羽小学校区）,図書館がありそこで勉強ができる,友達と遊べるところ少ない,２．一度、市を出て、また帰ってきたい,,仕事をしたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,もっとあそべる場所を増やしてほしい,税金減らせ～！
94,RS00009491,2023-07-03T13:14:09,女性,神明（神明・鳥羽小学校区）,近くに図書館がある,ない,５．県外に移りたい,東京,将来やりたい仕事が鯖江のネットワークやインターネット技術が発達していないから,パソコン;スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;デジタル技術を活用したサービスが充実したまち,,,もっとネットワークを整備してほしい
93,RS00009337,2023-07-03T13:14:05,女性,立待,休みの日に公民館を使うことができる,　遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,将来県外でする仕事があるかもしれないから,タブレット端末,,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,,
92,RS00009271,2023-07-03T13:14:04,女性,神明（神明・鳥羽小学校区）,地域の人に挨拶をすると挨拶が返ってくる,遊び場がない,１．いま住んでる地区にずっと住み続けたい,,慣れてるところに住みたいから,スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,,
91,RS00009194,2023-07-03T13:14:03,男性,神明（神明・鳥羽小学校区）,公園があってマックがある,信号が無いところがある,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,パソコン;スマートフォン（スマホ）;テレビ,,人々のふれあいやコミュニティ活動が盛んで温かいまち;地域資源を活かした観光交流が盛んなまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,なし,なし
90,RS00009070,2023-07-03T13:14:02,男性,神明（神明・鳥羽小学校区）,公園がいっぱいある,ない,５．県外に移りたい,大阪府,住んでみたいから,パソコン;スマートフォン（スマホ）,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,スポーツをする場所がある,ない
89,RS00008960,2023-07-03T13:14:01,男性,立待,夏祭りがある,歩道が全然整備されていない,２．一度、市を出て、また帰ってきたい,,知らない場所に一回行ってみたいから,パソコン;スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,,
88,RS00008813,2023-07-03T13:13:55,回答しない,神明（神明・鳥羽小学校区）,なにもない,"駅が遠い
きっぷが高い
おでかけに行く場所がない",５．県外に移りたい,東京,"野球が見たい
便利
ちあんがいい
",スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち,,"値下げ
東京みたいな感じ",税金を下げろ
87,RS00008755,2023-07-03T13:13:51,女性,鯖江（惜陰・進徳小学校区）,みんな優しい,"遊べる時間がない
遊ぶところがない
",５．県外に移りたい,千葉,住みやすいと思ったから,スマートフォン（スマホ）,,個性を尊重し多様なライフスタイルが実現できるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち,,人が安心して生活が送れるようにしてほしい,もっと福井にも遊べる場所がほしい
86,RS00008633,2023-07-03T13:13:47,男性,神明（神明・鳥羽小学校区）,公民館に宴会場がる,ない,４．県内の他の市町に移りたい,坂井市,いろんなところに住みたいから,スマートフォン（スマホ）;テレビ;パソコン,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;地域資源を活かした観光交流が盛んなまち,,暮らしやすい市,ない
85,RS00008526,2023-07-03T13:13:46,男性,鯖江（惜陰・進徳小学校区）,公園が多い,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,将来入りたい会社の本社が県外にあるから,タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,県外にあるような店をもっと増やしてほしい,交通機関を便利にしてほしい
84,RS00008439,2023-07-03T13:13:39,女性,立待,"景色のいい公園がある
歴史がすごい","イオンモールや友達と遊べる場所を作ってほしい
道をきれいにしてほしい",３．市内の他の地区に移りたい,鯖江市のどこか,鯖江が住みやすいから,スマートフォン（スマホ）;テレビ;パソコン,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち,,"イオンをつくってほしい
自然を大切にしてほしい",遊べる場所をつくってください
83,RS00008388,2023-07-03T13:13:29,男性,鯖江（惜陰・進徳小学校区）,公園がある,遊べる場所がない,５．県外に移りたい,茨城県,出身地だから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,遊べる場所を作ってほしい,遊べる場所がない
82,RS00008286,2023-07-03T13:13:27,女性,神明（神明・鳥羽小学校区）,"いろんな建物が近くにある
自然が豊か",遊ぶ場所が少ない,５．県外に移りたい,東京,建物の種類が鯖江に比べて多い,スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち;若者や女性に選ばれる魅力のあるまち,,勉強をたくさんして自由に生きたい,
81,RS00008152,2023-07-03T13:13:15,男性,吉川,交通事故が少ない,遊べるところが少ない,２．一度、市を出て、また帰ってきたい,,住みやすいから。事故などが少ないから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,遊べるところがたくさんほしい,特にない
80,RS00008029,2023-07-03T13:13:07,男性,神明（神明・鳥羽小学校区）,交通がいい,新幹線の駅がほしい,５．県外に移りたい,東京都,将来のことを考えて県外に出たいから,パソコン;スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,活気のある街,イオンほしい
79,RS00007979,2023-07-03T13:13:04,男性,立待,広い公園がある,買い物できる場所が少ない,２．一度、市を出て、また帰ってきたい,,環境がいいから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,,このまま,ない
78,RS00007863,2023-07-03T13:13:03,男性,神明（神明・鳥羽小学校区）,川,"道が狭い
",１．いま住んでる地区にずっと住み続けたい,,親との思い出があるから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;高度な医療や福祉サービスが充実したまち;安心して結婚・出産・子育てができるまち,,体育館を増やしてほしい,ガタガタの道路が多いから整備してほしい
77,RS00007758,2023-07-03T13:12:57,男性,神明（神明・鳥羽小学校区）,楽しく友達と遊べる,大規模な公園が少ない,２．一度、市を出て、また帰ってきたい,,一度、他の場所で暫く生活してみたいから,スマートフォン（スマホ）;その他,家族や友達に聞く,防災対策や防犯対策が十分で安全安心に暮らせるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,安心して自由に楽しく暮らせる街,もう少し体育館を増やして欲しい
76,RS00007654,2023-07-03T13:12:55,男性,神明（神明・鳥羽小学校区）,ない,コストコを作って欲しい,２．一度、市を出て、また帰ってきたい,,ない,スマートフォン（スマホ）;タブレット端末;新聞・雑誌など,,だれもが自由に移動できる交通利便性の高いまち;デジタル技術を活用したサービスが充実したまち;若者や女性に選ばれる魅力のあるまち,,お店が増えてほしい,店を増やして欲しい
75,RS00007560,2023-07-03T13:12:52,男性,神明（神明・鳥羽小学校区）,"きれい
",遊ぶ場所がない,５．県外に移りたい,新潟,福井はあまり楽しめない,パソコン;スマートフォン（スマホ）;テレビ,,安心して結婚・出産・子育てができるまち;歴史・伝統・芸術・文化を大切にするまち;地域資源を活かした観光交流が盛んなまち,,かんこうにあふれる町,遊ぶ場所を増やしてほしい（ラウンドワン）など
74,RS00007491,2023-07-03T13:12:50,女性,神明（神明・鳥羽小学校区）,特になし,"友達と遊べる場所が少ない
ショッピングモールがない
田舎臭い
田んぼが多い
",５．県外に移りたい,神奈川・東京,田舎すぎるから,タブレット端末,,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,東京みたいに都会な街,田舎すぎる
73,RS00007383,2023-07-03T13:12:45,男性,立待,遊べる場所がある,道がガタガタなところがある,１．いま住んでる地区にずっと住み続けたい,,住みやすい環境だから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,,まちなみや景観が美しいまち;身近に自然を感じることのできるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,,
72,RS00007287,2023-07-03T13:12:38,男性,立待,人が温かい,"イオンを作ってほしい
公園を作ってほしい",３．市内の他の地区に移りたい,福井市,住みやすそうだから,パソコン;スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち;身近に自然を感じることのできるまち,,もっと子育て世代を支援してほしい,がんばってください
71,RS00007177,2023-07-03T13:12:36,女性,立待,公民館でいろいろなイベントがある,遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所がすきだから,タブレット端末,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;子どもから高齢者まで安心して教育を受けられるまち,,"安心して過ごせる
",商業施設や遊べる場所を増やしてほしい
70,RS00007083,2023-07-03T13:12:36,女性,立待,・優しい人が多い・自然が多い,"遊べる場所がとても少ない
ショッピングモールがほしい
行事がほぼない",５．県外に移りたい,大阪,"鯖江は少し不便なことが多いから
",スマートフォン（スマホ）,,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,商業施設を増やしてほしい,大型商業施設がほしいです。
69,RS00006945,2023-07-03T13:12:32,女性,吉川,特にない,もっと、店を増やしてほしい,２．一度、市を出て、また帰ってきたい,,他のところに行ってみて、自分に合わなかったときに戻るため,携帯電話（スマートフォン以外）;テレビ;タブレット端末,,まちなみや景観が美しいまち;若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,鯖江市は将来、もっと店や、遊ぶ場所が増えていると嬉しいです。,店を増やしてください。
68,RS00006826,2023-07-03T13:12:17,男性,鯖江（惜陰・進徳小学校区）,自然,ない,１．いま住んでる地区にずっと住み続けたい,,移動が面倒だから,タブレット端末,,産業が盛んで働く場所が充実したまち,,,
67,RS00006771,2023-07-03T13:12:15,男性,神明（神明・鳥羽小学校区）,毎年恒例でまつりなどがある,サッカーなどができる場所がない,２．一度、市を出て、また帰ってきたい,,今住んでいるところが気に入っているから,スマートフォン（スマホ）;テレビ,,スポーツに親しむ環境が整備されたまち;高度な医療や福祉サービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,子どもたちが遊べるところが多くなること,特にありません
66,RS00006632,2023-07-03T13:12:10,女性,鯖江（惜陰・進徳小学校区）,レッサーパンダがいる,"遊べる場所が少ない
遊べる場所を作ってほしい",５．県外に移りたい,京都,都会に住んでみたいから,スマートフォン（スマホ）,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;身近に自然を感じることのできるまち;産業が盛んで働く場所が充実したまち,,みんなが住みやすい町,遊べるところをもっと増やしてください
65,RS00006570,2023-07-03T13:12:02,女性,神明（神明・鳥羽小学校区）,"公園でいろいろな人と交流できる
地域の人たちが親切にしてくれる","イオンがほしい
",３．市内の他の地区に移りたい,特にない,将来のことはわからないが、仕事や家族の都合でこの地を離れるかもしれないから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,,安心して結婚・出産・子育てができるまち;個性を尊重し多様なライフスタイルが実現できるまち;デジタル技術を活用したサービスが充実したまち,,自分が結婚したり、他県の学校に行ったときにまた戻ってきたいと思う鯖江市にしてほしい,発達しているところは都会に負けないくらい発達させて、自然が残っているところはこの先も残していったほうがいい
64,RS00006449,2023-07-03T13:11:41,女性,神明（神明・鳥羽小学校区）,近くに歩いて行ける図書館がありテスト勉強や夏休み暇なときに本を借りに行けるところ,"高校を増やしてほしい
ショッピングモールなどを増やしてほしい",５．県外に移りたい,東京都,将来やりたい仕事が東京などにしかないから,タブレット端末;スマートフォン（スマホ）;テレビ,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,福井県内でもいいから都会にあるものを沢山とりいれてほしい,"イオンを建ててほしい
"
63,RS00006301,2023-07-03T13:11:35,男性,神明（神明・鳥羽小学校区）,"私が住んでいる場所の近くにアルビスがあり車がなくても買い物ができる
",特にありません,１．いま住んでる地区にずっと住み続けたい,,どこか違うところに行くと考えたらお金がかかるからです,タブレット端末,,防災対策や防犯対策が十分で安全安心に暮らせるまち,,住んでいる人々が協力しあい思いやりあふれる街,特にありません
62,RS00006209,2023-07-03T13:11:35,女性,神明（神明・鳥羽小学校区）,特になし,楽しめる場所が少ないこと。,１．いま住んでる地区にずっと住み続けたい,,将来やりたい仕事が県内でも可能だから。,スマートフォン（スマホ）;タブレット端末;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,特になし,特になし
61,RS00006174,2023-07-03T13:11:34,女性,神明（神明・鳥羽小学校区）,特になし,特になし,５．県外に移りたい,予定はない,特になし,スマートフォン（スマホ）;タブレット端末;新聞・雑誌など,,歴史・伝統・芸術・文化を大切にするまち,,,
60,RS00006063,2023-07-03T13:11:34,男性,鯖江（惜陰・進徳小学校区）,自然が広がっているところ,不便なことは田舎すぎることになっています。,３．市内の他の地区に移りたい,都市,"給料がいいから
そして自分のしたい仕事ができるから。",パソコン;スマートフォン（スマホ）;携帯電話（スマートフォン以外）,,まちなみや景観が美しいまち;子どもから高齢者まで安心して教育を受けられるまち;デジタル技術を活用したサービスが充実したまち,,ショッピングができるところがほしい,もっと住みやすい街鯖江にしたい
59,RS00005959,2023-07-03T13:11:29,男性,立待,遊べるところがたくさんある,"ない
",２．一度、市を出て、また帰ってきたい,,楽しい,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,いい,いい
58,RS00005826,2023-07-03T13:11:29,男性,立待,街の人の人柄が良い,大きなショッピングモールがほしい,２．一度、市を出て、また帰ってきたい,,他の市や県を見ていきたいから,スマートフォン（スマホ）;テレビ;パソコン,,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,,
57,RS00005737,2023-07-03T13:11:11,女性,神明（神明・鳥羽小学校区）,みどりがたくさんある,友達と遊べる場所が少ない,５．県外に移りたい,,都会に移り住みたいから,パソコン;スマートフォン（スマホ）,,防災対策や防犯対策が十分で安全安心に暮らせるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,,
56,RS00005659,2023-07-03T13:11:05,女性,神明（神明・鳥羽小学校区）,"西山公園がある
",いろいろな流行りのお店がない,２．一度、市を出て、また帰ってきたい,,県外に行ってみたいから,スマートフォン（スマホ）;タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,楽しい町にしてほしい,流行りに乗ったほうがいい
55,RS00005510,2023-07-03T13:10:59,女性,鯖江（惜陰・進徳小学校区）,花がたくさんある,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,他県に住んでみたいから,スマートフォン（スマホ）,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,遊べる場所を増やしてほしい,
54,RS00005469,2023-07-03T13:10:58,男性,神明（神明・鳥羽小学校区）,自然が多い,サッカーできるとこが少ない,２．一度、市を出て、また帰ってきたい,,いろんなとこにすんでみたいから,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち,,スポーツができる場所がほしい,なし
53,RS00005357,2023-07-03T13:10:49,女性,神明（神明・鳥羽小学校区）,図書館がある,遊べる場所が少ない,５．県外に移りたい,東京都,都会に行きたいから,スマートフォン（スマホ）;タブレット端末;新聞・雑誌など,,まちなみや景観が美しいまち;個性を尊重し多様なライフスタイルが実現できるまち;若者や女性に選ばれる魅力のあるまち,,店が増える,特になし
52,RS00005239,2023-07-03T13:10:13,女性,神明（神明・鳥羽小学校区）,みんな優しい,信号機をつけてほしい,３．市内の他の地区に移りたい,京都府,一度行っていいなと思ったから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;身近に自然を感じることのできるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,木を増やして美味しい空気を吸いたい,ない
51,RS00005117,2023-07-03T13:09:37,女性,神明（神明・鳥羽小学校区）,気軽に遊びに行けるところがある。,"色々な飲食店を増やしてほしい
屋内アスレチックなどの遊べる場所がほしい",２．一度、市を出て、また帰ってきたい,,住みやすいと思うから,タブレット端末;テレビ,,安心して結婚・出産・子育てができるまち;産業が盛んで働く場所が充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,"産業が盛んで賑やかな街
子育てがしやすい
子どもたちがのびのびと成長できる",
50,RS00005027,2023-07-03T13:09:37,男性,立待,御神輿を運びながら地区を周る祭りがある,近くにアルプラなどしか買い物をするとこがない,２．一度、市を出て、また帰ってきたい,,今住んでいるところが好きだからです,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち,,"・公園を増やす
・大きいショピングモールを置く（例えば　イオン）
","この市に生まれてよかった
"
49,RS00004940,2023-07-03T13:09:34,女性,神明（神明・鳥羽小学校区）,"年に一度町内のまつりがある
",遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,すみやすい,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;歴史・伝統・芸術・文化を大切にするまち,,広い世代で住みやすい,
48,RS00004856,2023-07-03T13:09:33,男性,立待,"緑豊かなところ
近松門左衛門がいたこと","公園が少ないところ
道がガタガタなところ",５．県外に移りたい,愛知県名古屋市,都会に出たいから,タブレット端末;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち,,もっと暮らしやすい街になってほしい,イオンモールやコストコを作ってほしい
47,RS00004710,2023-07-03T13:09:32,男性,神明（神明・鳥羽小学校区）,"自然がたくさんあるところ
","みちががたがた
",５．県外に移りたい,石川県,よさそうだから,タブレット端末;テレビ;新聞・雑誌など,,まちなみや景観が美しいまち;高度な医療や福祉サービスが充実したまち;だれもが自由に移動できる交通利便性の高いまち,,なし,なし
46,RS00004680,2023-07-03T13:09:28,女性,鯖江（惜陰・進徳小学校区）,自然が多い,買い物するところが少ない,２．一度、市を出て、また帰ってきたい,,見慣れているから,スマートフォン（スマホ）;テレビ;ラジオ,,まちなみや景観が美しいまち;身近に自然を感じることのできるまち;地域資源を活かした観光交流が盛んなまち,,,
45,RS00004513,2023-07-03T13:09:24,女性,神明（神明・鳥羽小学校区）,公園で町内の祭りがある,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,県外に行って仕事をしてみたいから,スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;まちなみや景観が美しいまち,,みんなが住みやすい街,大型ショッピングモールを建ててほしい
44,RS00004400,2023-07-03T13:09:14,男性,神明（神明・鳥羽小学校区）,何でもある,運動できるところがほしい,１．いま住んでる地区にずっと住み続けたい,,住みやすい,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち,,子供が遊べるところを増やしてほしい,
43,RS00004348,2023-07-03T13:08:45,男性,鯖江（惜陰・進徳小学校区）,公園で遊べる,友達と遊ぶところが少ない,２．一度、市を出て、また帰ってきたい,,楽しそうだから,パソコン;スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,友達と遊べるところがもっと増えるといいと思います,友達と遊べるところがもっと増えるといいと思います
42,RS00004211,2023-07-03T13:08:31,男性,吉川,ない,室内で遊べる場所がない,５．県外に移りたい,静岡県,とても住みやすそうだから,スマートフォン（スマホ）;テレビ,,まちなみや景観が美しいまち,,福井県でいちばん魅力がある町,冬季のスクールバスのお金が高い
41,RS00004160,2023-07-03T13:08:30,男性,神明（神明・鳥羽小学校区）,近くにいろんな店がある,"交通手段が少ない
大型商業施設を建設してほしい",５．県外に移りたい,石川県,福井より発達しているから。,テレビ;パソコン,,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち,,Q９の回答より,暮らしやすいまちにしてほしい
40,RS00004090,2023-07-03T13:08:27,女性,神明（神明・鳥羽小学校区）,"図書館がある。
家の近くにコンビニとアオキがある。
","友達と遊べる場所が少なすぎる。
大型商業施設がほしい。
スイーツ店がない。
スポーツ店がない。",５．県外に移りたい,石川、愛知、大阪、福岡など,"福井とは違って、いろんな店があるから。
鯖江が不便すぎるから。",スマートフォン（スマホ）;テレビ;新聞・雑誌など,,人々のふれあいやコミュニティ活動が盛んで温かいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,大型商業施設がたくさんある。,もっと暮らしやすくしてほしい。
